text,tema_busca,categoria
"assistência médica no canadá é prestada por meio dos sistemas provinciais e territoriais de saúde financiada publicamente, popularmente chamados de medicare. o sistema é regido pelas disposições da lei de saúde do canadá, de 1984, e é universal. a comissão real, de 2002 – conhecida como relatório romanow – revelou que os canadenses consideram o acesso universal aos serviços de saúde financiados publicamente como um ""valor fundamental que assegura seguro nacional de saúde para todos, onde quer que vivam no país"".",Assistência médica no Canadá,saude_beleza
"sistema único de saúde (sus) é a denominação do sistema público de saúde brasileiro criado pela constituição federal de 1988 pelo texto elaborado durante a assembleia nacional constituinte de 1987-1988 na sua 267.ª sessão no dia 17 de maio de 1988.  
entre os países com mais de 200 milhões de habitantes, o brasil é o único que possui um sistema de saúde pública universal totalmente financiado pelo estado. 
o sus realiza desde atendimentos primários até procedimentos complexos e oferece atendimento de emergência para pessoas que sofrem acidentes pelo serviço de atendimento móvel de urgência (samu).",Sistema Único de Saúde,saude_beleza
"organização mundial da saúde (em inglês:  world health organization - who) é uma agência especializada em saúde, fundada em 7 de abril de 1948 e subordinada à organização das nações unidas. sua sede é em genebra, na suíça. o diretor-geral é, desde julho de 2017, o etíope tedros adhanom.",Organização Mundial da Saúde,saude_beleza
"a saúde mental abrange o bem-estar emocional, psicológico e social, influenciando a cognição, a percepção e o comportamento. a saúde mental desempenha um papel crucial na vida diária de um indivíduo no gerenciamento do estresse, no relacionamento com outras pessoas e na contribuição para a vida em geral. segundo a organização mundial da saúde (oms), é um ""estado de bem-estar no qual o indivíduo realiza suas habilidades, consegue lidar com as tensões normais da vida, consegue trabalhar de forma produtiva e frutífera e pode contribuir para sua comunidade"".",Saúde mental,saude_beleza
"a saúde preventiva ou cuidados de saúde preventivos, ou profilaxia, consistem em medidas tomadas para a prevenção de doenças. a doença e a incapacidade são afectadas por fatores ambientais, predisposição genética, agentes patogênicos e escolhas de estilo de vida, e são processos dinâmicos que começam antes dos indivíduos se aperceberem que são afectados. a prevenção de doenças depende de acções antecipatórias que podem ser categorizadas como prevenção primal, primária, secundária, e terciária.",Saúde preventiva,saude_beleza
"o serviço nacional de saúde (sns) é o organismo encarregue do sistema de prestações de saúde públicas no território continental de portugal. o sns constitui a estrutura através do qual o estado português assegura o direito à saúde (promoção, prevenção e vigilância) a todos os cidadãos de portugal. a sua criação remonta ao ano de 1979, após se terem reunido as condições políticas e sociais provenientes da reestruturação política portuguesa da década de 1970.",Serviço Nacional de Saúde,saude_beleza
"desigualdade em saúde está relacionada às desvantagens sistemáticas enfrentadas por diferentes grupos sociais em comparação a outros, refletindo-se em piores indicadores de saúde e maior exposição a riscos sanitários. essas disparidades podem ser atribuídas a múltiplos fatores, incluindo aspectos regionais, sociais e epidemiológicos.
a desigualdade, nesse contexto, só pode ser compreendida de forma comparativa: os grupos sociais privilegiados indicam o nível de saúde biologicamente possível nas condições vigentes, enquanto as demais discrepâncias e variações refletem algum aspecto da desigualdade.",Desigualdade em saúde,saude_beleza
"a saúde das mulheres difere da do homem em muitas maneiras. ela constitui-se como um exemplo de saúde da população, onde a saúde é definida pela organização mundial da saúde como “um estado de completo bem-estar físico, mental e social e não apenas a ausência de doença ou enfermidade”. muitas vezes tratada simplesmente como saúde reprodutiva das mulheres, muitos grupos defendem uma definição mais ampla referente à saúde geral das mulheres.",Saúde das mulheres,saude_beleza
"uma só saúde (ou também saúde única) trata-se de uma abordagem que demanda ""os esforços colaborativos de múltiplas disciplinas que trabalham local, nacional e globalmente, para alcançar a saúde ideal para as pessoas, animais e nosso meio ambiente"", conforme definido pela força-tarefa da one health initiative (ohitf).
surgiu em resposta às evidências da propagação de doenças zoonóticas entre espécies e à crescente percepção da ""interdependência entre a saúde humana e animal, juntamente com as mudanças ecológicas"".
sob essa perspectiva, a saúde pública não se restringe mais apenas aos seres humanos.",Uma Só Saúde,saude_beleza
"as determinantes sociais da saúde na pobreza descrevem os fatores que afetam a saúde e a desigualdade na saúde das populações empobrecidas. as desigualdades na saúde decorrem das condições de vida das pessoas, incluindo condições de vida, ambiente de trabalho, idade e outros factores sociais, e como estes afectam a capacidade das pessoas de responder à doença. estas condições também são moldadas pelas estruturas políticas, sociais e econômicas.",Determinantes sociais de saúde na pobreza,saude_beleza
"um seguro de saúde é um seguro de proteção das pessoas contra o risco de terem que vir a incorrer em despesas médicas. estimando o risco geral das despesas de saúde de um grupo alvo, a seguradora pode desenvolver uma estrutura financeira que assegure fontes de rendimento (como prémios ou taxas) de modo a disponibilizar o dinheiro necessário para pagar os benefícios médicos especificados na apólice de seguro. o seguro pode ser administrado pelo governo, por uma entidade particular sem fins lucrativos ou por uma empresa privada.",Seguro de saúde,saude_beleza
"o ministério da saúde (ms) corresponde ao setor governamental responsável pela administração e manutenção da saúde pública no brasil.


== história ==

existe desde 1808 diretrizes públicas na área da saúde, realizadas pela monarquia. apesar disso, o primeiro ministério com ações na área da saúde foi criado em 1930, durante o governo de getúlio vargas, com o nome de ministério dos negócios da educação e saúde pública.",Ministério da Saúde (Brasil),saude_beleza
"política de saúde pode ser definida como as ""decisões, planos e ações realizadas para alcançar cuidados de saúde específicos dentro de uma sociedade"". de acordo com a organização mundial da saúde, uma política de saúde explícita pode conseguir vários resultados: define uma visão para o futuro; descreve as prioridades e os papéis esperados dos diferentes grupos; e cria consenso e informa as pessoas. a política de saúde governamental refere-se ao conjunto de estratégias, diretrizes e ações implementadas por um governo para promover e garantir o bem-estar da população em relação à saúde.",Política de saúde,saude_beleza
"rd saúde (rd ou raia drogasil) é uma empresa brasileira do setor varejista farmacêutico criada em 2011 após a fusão da drogasil com a raia. 
no fim de 2023, contava com mais de três mil unidades espalhadas pelos 27 estados do brasil e uma participação de 15,5% no mercado de varejo farmacêutico brasileiro. atualmente é a sétima maior empresa do ramo varejista do país, e a primeira no ramo de farmácias.",RD Saúde,saude_beleza
"saúde pública na concepção mais tradicional, é a aplicação de conhecimentos (médicos ou não), com o objetivo de organizar sistemas e serviços de saúde, atuar em fatores condicionantes e determinantes do processo saúde-doença controlando a incidência de doenças nas populações através de ações de vigilância e intervenções governamentais. por outro lado como destaca rosen a aplicação efetiva de tais princípios depende de elementos não médicos principalmente de fatores econômicos e sociais. 
pode-se dizer que a saúde política e económica centra sua ação a partir da ótica do estado com os interesses que ele representa nas distintas formas de organização social e política das populações, segundo o médico e político rudolf virchow (1821-1902), a política é “uma medicina em escala maior”.",Saúde pública,saude_beleza
"nossa senhora da saúde é uma das invocações marianas atribuídas à virgem maria na ladainha lauretana, sendo, sob essa designação, particularmente cultuada em portugal. o seu culto foi incrementado com os relatos de aparições marianas reportadas por dois jovens indianos e por um grupo de comerciantes náufragos portugueses na localidade de velankanni, no estado de tâmil nadu, na índia, onde hoje se ergue uma imponente basílica.


== história ==
tradicionalmente invocada pelos doentes (como afirma o padre antónio vieira no seu sermão do nascimento da mãe de deus: «perguntai aos enfermos para que nasce esta celestial menina, dir-vos-ão que nasce para senhora da saúde [...]»), tornou-se particularmente cultuada a partir dos finais do século xvi, sendo-lhe atribuída a intervenção miraculosa que levou ao fim de vários surtos de peste ocorridos em portugal.",Nossa Senhora da Saúde,saude_beleza
"a frança, como outros países da europa, tem um sistema de saúde universal em grande parte financiado pelo estado através de um sistema de seguro nacional de saúde. na avaliação mundial de 2000 de sistemas de cuidados à saúde, a organização mundial de saúde (oms) concluiu que a frança forneceu os ""melhores cuidados de saúde em geral"" no mundo. em 2005, a frança gastou 11,2% do pib em saúde, ou u$ 3926 per capita, um valor muito superior à média de gasto por países da europa e menor do que os estados unidos.",Saúde na França,saude_beleza
"o dia mundial da saúde é celebrado anualmente no dia 7 de abril.

foi criado pela organização mundial da saúde (oms) em 7 de abril de 1948, mas passou a ser comemorado apenas a partir de 1950.
seu objetivo geral é apresenta uma oportunidade de mobilizar apoio para a conscientização, ação e pesquisa sobre as prioridades globais da saúde, promovendo a boa saúde e bem estar para todos.",Dia Mundial da Saúde,saude_beleza
"promoção da saúde consiste em políticas, planos e programas de saúde pública com ações voltadas em evitar que as pessoas se exponham a fatores condicionantes e determinantes de doenças, a exemplo dos programas de educação em saúde que se propõem a ensinar a população a cuidar de sua saúde. além disso, incentiva condutas adequadas à melhoria da qualidade de vida, distinguindo-se da atenção primária ou ações da medicina preventiva que identificam precocemente o dano e ou controlam a exposição do hospedeiro ao agente causal em um dado meio-ambiente.  
no dia 30 de março de 2006, foi aprovada a política nacional de promoção a saúde (pnps), pela portaria de número 687, que validou o compromisso da atual gestão do ministério da saúde na ampliação das ações de promoção, nos serviços e na gestão do sistema único de saúde (sus).",Promoção da saúde,saude_beleza
"religião é uma série de sistemas socioculturais compostos por práticas, organizações, morais, crenças, cosmovisões, textos sagrados, lugares santificados, profecias ou ética que geralmente relacionam a humanidade a elementos sobrenaturais, transcendentais e espirituais - embora não haja consenso acadêmico sobre o que precisamente constitui uma ""religião"". diferentes religiões podem ou não conter vários elementos que vão desde o divino, a sacralidade, a fé e um ser ou seres supremos. 
as práticas religiosas podem incluir rituais, sermões, festivais, venerações (de divindades ou santos), sacrifícios, festas, transes, iniciações, serviços matrimoniais e funerários, meditações, orações, músicas, artes ou danças.",Religião,religiao
"religião no brasil é muito diversificada, mas se caracteriza principalmente pela forte presença do cristianismo na sociedade. a constituição prevê a liberdade de religião e declara que a igreja e o estado estão oficialmente separados, sendo o brasil um estado laico. a legislação brasileira proíbe qualquer tipo de intolerância, sendo a prática religiosa geralmente livre no país.",Religião no Brasil,religiao
"islamismo é uma religião abraâmica monoteísta centrada no alcorão e nos ensinamentos do profeta maomé. seus crentes são chamados muçulmanos e totalizam aproximadamente 1,9 bilhão* de pessoas em todo o mundo, o que faz deles a segunda maior população religiosa do mundo depois dos cristãos.
os muçulmanos acreditam no puro monoteísmo, que o islamismo é a versão completa e universal de uma fé primordial que foi revelada muitas vezes por meio de profetas anteriores, como adão (que se acredita ser o primeiro homem), abraão, moisés e jesus, entre outros; essas revelações anteriores são atribuídas ao judaísmo e ao cristianismo, que são considerados no islamismo como religiões predecessoras espirituais.",Islamismo,religiao
"os iorubás vivem principalmente no sul e sudoeste da nigéria, sudeste de benim e em menor número no centro-sul do togo, tudo compreendido como a iorubalândia. sua religião engloba uma religião e visão de mundo, cosmovisão, rica mitologicamente, com função de normatizar o comportamento pessoal e coletivo. a religião baseia-se no culto aos orixás, intermediários entre a humanidade e o ser superior criador do universo (chamado olódùmarè / olorun / olofi).",Religião iorubá,religiao
"a china segue oficialmente o ateísmo de estado. muitos cidadãos chineses, incluindo membros do partido comunista da china (pcc), praticam algum tipo de religião popular chinesa. a civilização chinesa é historicamente o berço e anfitrião de uma variedade das mais duradouras tradições religioso-filosóficas do mundo.",Religião na China,religiao
"a religião no japão se manifesta principalmente no xintoísmo e no budismo, as duas principais religiões, que costumam ser praticadas simultaneamente. de acordo com as estimativas, cerca de 80% da população segue os rituais xintoístas em algum grau, adorando ancestrais e espíritos em altares domésticos e santuários públicos. um número quase igualmente alto é relatado como budista.",Religião no Japão,religiao
"a religião nos estados unidos é caracterizada por uma diversidade de crenças e práticas religiosas. várias crenças (religiosas) floresceram/surgiram dentro dos estados unidos. uma grande maioria de americanos informaram que ela (a religião) tem um papel muito importante em suas vidas, uma proporção única entre países desenvolvidos"".",Religião nos Estados Unidos,religiao
"há muitas maneiras de se pensar como se dá a relação entre religião e ciência. a história da humanidade mostra que as visões acerca da natureza da ciência e da natureza da religião mudam com o tempo, de acordo com as concepções filosóficas e contextos políticos, sociais, econômicos, etc.
historicamente, a ciência tem tido uma relação complexa com a religião; doutrinas religiosas por vezes influenciaram o desenvolvimento científico, enquanto o conhecimento científico tem surtido efeitos sobre crenças religiosas.",Relação entre religião e ciência,religiao
"a religião mexica ou religião asteca originou-se dos astecas indígenas da região central do méxico. como outras religiões mesoamericanas, também tem práticas como o sacrifício humano em conexão com muitos festivais religiosos que estão no calendário asteca. esta religião politeísta tem muitos deuses e deusas; os astecas costumavam incorporar divindades que foram emprestadas de outras regiões geográficas e povos em suas próprias práticas religiosas.",Religião mexica,religiao
"a religião da humanidade é o sistema religioso criado pelo francês augusto comte em 1854 como coroamento da carreira filosófica, em que procurou estabelecer as bases de uma completa espiritualidade humana, sem elementos extra-humanos ou sobrenaturais. a religião da humanidade também é conhecida como ""positivismo religioso"".


== positivismos ""religioso"" e ""filosófico"" ==
à semelhança das demais religiões, a religião da humanidade tem dogma, culto e regime, templos e capelas; sacramentos, sacerdotes e assim por diante.",Religião da Humanidade,religiao
a religião em áfrica é diversificada. a maioria dos africanos são adeptos do cristianismo e islamismo. muitos também praticam as religiões tradicionais africanas.,Religião na África,religiao
"o primeiro censo a incluir uma pergunta sobre religião foi em 1776, nos territórios canadenses de são joão e nova escócia. a influência de adolphe quételet definiu o início da demografia religiosa internacional, quando ele incluiu a religião como um campo específico numa pesquisa populacional em bruxelas de 1842 e incorporou-a no censo geral da bélgica em 1846, o qual se tornou uma referência estatística para padronização dos censos em outros países, que passaram a incluir a categoria.

esta é uma lista de populações religiosas por número de adeptos e países.",Demografia das populações por religião,religiao
"judaísmo (em hebraico: יהדות; romaniz.: yahadút) é uma religião étnica abraâmica e monoteísta que abrange as tradições espirituais, culturais e legais coletivas do povo judeu. os judeus religiosos consideram o judaísmo como seu meio de observar a aliança mosaica, que eles acreditam ter sido estabelecida entre deus e o povo judeu. é considerada uma das primeiras religiões monoteístas.",Judaísmo,religiao
"religião na grécia antiga diz respeito a um conjunto de crenças que se modificou ao longo dos períodos minoico, micênico, arcaico e clássico do mundo grego antigo e apresentou diversos aspectos. até onde se sabe, os gregos não possuíam nenhum livro sagrado como a bíblia. nesse sentido, a religião na grécia antiga é que não possuía dogmas, textos ou sacerdotes que orientassem ou monopolizassem a interpretação espiritual.",Religião na Grécia Antiga,religiao
"a religião na tailândia é variada. a tailândia, país do sudeste asiático com capital em bangkok, não possui religião oficial, e a constituição tailandesa garante a liberdade religiosa para todos os cidadãos tailandeses, embora o rei é exigido por lei para ser budista teravada. a principal religião praticada na tailândia é o budismo, mas há uma tendência forte do hinduísmo com a sua distinta classe sacerdotal.",Religião na Tailândia,religiao
"religiões abraâmicas são as religiões monoteístas cuja origem comum é reconhecida em abraão ou o reconhecimento de uma tradição espiritual identificada com ele. essa é uma das três divisões principais em religião comparada, junto com as religiões indianas (darma) e as religiões da ásia oriental.
as religiões abraâmicas se espalharam globalmente através do cristianismo sendo adotado pelo império romano no século iv e o islamismo pelos impérios islâmicos do século vii. as principais religiões abraâmicas em ordem cronológica de fundação são o judaísmo (a base das outras duas religiões) no século vii a.c., cristianismo no século i e o islamismo no século vii.
cristianismo, islamismo e judaísmo são as religiões abraâmicas com o maior número de adeptos.",Religiões abraâmicas,religiao
"religião natural mais frequentemente significa a ""religião da natureza"", na qual deus, as almas, os espíritos, e todos os objetos do sobrenatural são considerados como parte da natureza e não separados dela. por vezes, ""religião natural"" é entendida como uma crença panteísta de que a própria natureza é divina. por outro lado, o termo também é usado na filosofia para descrever alguns aspectos da religião que são ditos para serem cognoscíveis aparte da revelação divina apenas através da lógica e razão (ver deísmo e teologia natural), por exemplo, a existência do motor imóvel, a primeira causa do universo.",Religião natural,religiao
"a filosofia da religião é uma das divisões da filosofia. tem por objetivo o estudo da dimensão espiritual do homem desde uma perspectiva filosófica (metafísica, antropológica e ética), indagando e pesquisando sobre a essência do fenômeno religioso. em síntese, sua pergunta fundamental é: ""o que é a religião?"".",Filosofia da religião,religiao
"cristianismo (do grego xριστός, ""christós"", messias, ungido, do heb. משיח ""mashiach"") é uma religião monoteísta abraâmica baseada na vida e nos ensinamentos de jesus de nazaré. é a maior e mais difundida religião do mundo, com cerca de 2,4 bilhões* de seguidores, representando um terço da população global.",Cristianismo,religiao
"embora a palavra religião seja difícil de definir, um modelo padrão de religião usado em cursos de estudos religiosos a define como um[…] sistema de símbolos que atua para estabelecer sentimentos e motivações poderosos, penetrantes e duradouros nos homens, formulando concepções de uma ordem geral de existência e revestindo essas concepções com tal aura de factualidade que os humores e motivações parecem singularmente realistas.

muitas religiões possuem narrativas, símbolos, tradições e histórias sagradas que visam dar sentido à vida ou explicar a origem da vida ou do universo. eles tendem a derivar moralidade, ética, leis religiosas ou um estilo de vida preferido de suas ideias sobre o cosmos e a natureza humana.",Lista de religiões e tradições espirituais,religiao
"a população portuguesa é maioritariamente católica, devido sobretudo à tradição e às circunstâncias históricas que portugal teve e viveu no passado. os católicos, segundo os censos de 2011, compõem cerca de 81% da população portuguesa, conferindo, por isso, à igreja católica uma considerável influência junto da sociedade, embora agora não tanto como outrora.

segundo um estudo realizado em 2005, cerca de 81% da população portuguesa indicou que ""acredita em deus"", cerca de 12% que ""acredita que existe alguma forma de espírito ou força da vida"" e ainda cerca de 6% que ""não acredita que exista uma força divina, deus ou força vital"".",Religião em Portugal,religiao
"esta é uma lista de tópicos sobre a cultura da bulgária

lista de búlgaros
martenitsa
música da bulgária


== feriado ==
dia da educação e cultura búlgara e do script eslavo


== religião ==
ortodoxos: 70,4%
muçulmanos: 11,8%
protestantes: 8,2%
ateus: 7,8%
católicos romanos (latinos e orientais): 1,1%
sem filiação/outros: 0,7%.",Cultura da Bulgária,religiao
"religião perene (ou religio perennis em latim) é um conceito, proposto pelo filósofo das religiões frithjof schuon (1907-1998), que aponta para a unidade subjacente dos patrimônios espirituais das grandes religiões mundiais. esta “religião perene” foi sintetizada por schuon no livro sur les traces de la religion pérenne (paris, courrier du livre, 1982)como “discernimento entre o real e o irreal, e concentração no real”. a primeira parte desta síntese, o discernimento metafísico, envolve a discriminação ou separação entre, de uma parte, o absoluto e o eterno (ou “deus”, de acordo com a terminologia de cristianismo, islã e judaísmo; ou “nirvana”, segundo a terminologia não-teísta do budismo) e, de outra parte, o mundo e o ego (ilusórios, ou “menos reais”, do ponto de vista do absoluto).",Religião Perene,religiao
"a religião no irã (português brasileiro) ou irão (português europeu) é oficialmente o islã do ramo xiita duodecimano da jurisprudência jafarita, conforme estabelece o artigo 12 da constituição do país. o mesmo artigo estabelece que outras escolas islâmicas são respeitadas e seus seguidores são livres para agir de acordo com a  jurisprudência própria a cada uma delas na prática de ritos religiosos, sendo oficialmente reconhecidas em matéria de educação religiosa, vida pessoal (casamento, divórcio, testamentos e heranças) e outras questões legais.


== religião no irã ==
a religião desempenha um papel central na sociedade iraniana, sendo o país oficialmente uma república islâmica.",Religião no Irã,religiao
"a religião minoica corresponde a cultos religiosos praticados em creta pela civilização minoica. a religião minoica é uma religião animista orientada para o culto da vegetação. isto é especialmente perceptível através dos deuses e deusas que morrem e renascem a cada ano, e o uso de símbolos como o touro (ou seus chifres), cobras e pombos.",Religião minoica,religiao
"o islão é de longe a religião dominante na tunísia; 99% dos tunisinos são muçulmanos. minorias religiosas incluem o cristianismo (25000 seguidores), o judaísmo (1500 seguidores), e a fé bahá'í (200 seguidores). a constituição da tunísia concede a liberdade de religião, desde que não perturbe a ordem pública; no entanto, o governo impõe algumas restrições sobre esse direito.",Religião na Tunísia,religiao
"a religião predominante do quênia é o cristianismo, praticado por cerca de 80% da população. outras crenças praticadas no país são o baha'i, o hinduísmo, o islã e religiões tradicionais africanas.


== religiões abraâmicas ==


=== cristianismo ===

o cristianismo chegou ao quênia no século xv, levado pelos portugueses, e se espalhou rapidamente durante o século xix, quando experimentou um renascimento.",Religião no Quênia,religiao
"religião no egito controla muitos aspectos da vida social e é aprovada por lei. a religião oficial do egito é o islã, embora as estimativas variem muito na ausência de estatísticas oficiais. desde o censo de 2006, a religião foi excluída e, portanto, as estatísticas disponíveis são estimativas feitas por agências religiosas e não governamentais.",Religião no Egito,religiao
"batuque é uma forma genérica de denominar as religiões afro-brasileiras de culto aos orixás do estado do rio grande do sul, brasil, de onde se estendeu para os países vizinhos, tais como uruguai e argentina.
o batuque é fruto de religiões dos povos da guiné, benim e nigéria, possuindo raízes diferentes e somente pouco relacionadas com as nações do candomblé. o batuque possui os lados oyó e ijexá, mas tendo como as principais nações do batuque a cabinda e o jeje.",Batuque (religião),religiao
"uma religião matriarcal é uma religião que se concentra em uma deusa ou deusas. o termo é frequentemente utilizado para referir-se às teorias de religiões matriarcais pré-históricas que foram propostas por estudiosos como johann jakob bachofen, jane ellen harrison, e marija gimbutas, e mais tarde popularizada pela segunda onda do feminismo.


== história ==
o conceito de um matriarcado pré-histórico foi introduzido em 1861 quando johann jakob bachofen publicou uma investigação do caráter religioso e jurídico do matriarcado no mundo antigo.",Religião matriarcal,religiao
"dinossauros ou dinossáurios (em grego clássico: δεινός σαῦρος, deinos sauros, que significa ""lagarto terrível"") constituem um grupo de répteis, membros do clado dinosauria. acredita-se que os dinossauros apareceram há, pelo menos, 233 milhões de anos, e que, por mais de 167 milhões de anos, foram o grupo animal dominante na terra, num período geológico de tempo que vai desde o período triássico até o final do período cretáceo, há cerca de 66 milhões de anos, quando um evento catastrófico ocasionou a extinção em massa de quase todos os dinossauros, com exceção de algumas espécies emplumadas, as aves.
a hipótese mais aceita é de que o meteorito encontrado na cratera de chicxulub, na península de iucatã, foi o responsável pela extinção dos dinossauros, ao colidir com a terra e originar uma grande explosão, a qual carbonizou bilhões de animais instantaneamente, levantando também uma nuvem de poeira tão espessa que bloqueou a luz do sol e transformou o planeta em um local extremamente frio, em um evento meteorológico similar ao inverno nuclear, eliminando quase todas as espécies existentes de dinossauros.",Dinossauros,prehistoria
"esta é uma lista de dinossauros cujos fósseis foram encontrados no brasil. a paleontologia, estudo sistemático dos dinossauros e outros fósseis, teve início no brasil com o dinamarquês peter wilhelm lund, que explorou diversas cavernas na região de lagoa santa, minas gerais, no século xix, encontrando diversos fósseis de mamíferos.o primeiro fóssil de dinossauros no brasil, entretanto, foi encontrado na década de 1930 pelo gaúcho llewellyn ivor price, que estudou áreas em peirópolis, minas gerais, e no rio grande do sul.
em 1958, foi fundada, no rio de janeiro, a sociedade brasileira de paleontologia.",Lista de dinossauros do Brasil,prehistoria
"dinossauro rei (古代王者恐竜キング, kodai ōja kyōryū kingu; e em inglês dinosaur king) é uma série de anime infantil baseada em um jogo eletrônico de cartas para arcade desenvolvido pela sega em 2005. o anime foi desenvolvido pela sunrise e foi transmitido originalmente pela tv asahi de 2007 até 2008 rendendo duas temporadas.
uma adaptação americana distribuída pela 4kids entertainment foi transmitida nos estados unidos pela fox em 2007 e depois movida para o canal the cw no mesmo ano.",Dinossauro Rei,prehistoria
"jurassic park (bra: jurassic park - o parque dos dinossauros ou jurassic park - parque dos dinossauros; prt: parque jurássico) é um filme de aventura e ficção científica estadunidense de 1993, dirigido por steven spielberg, e baseado no livro homônimo escrito por michael crichton. produzido pela amblin entertainment e distribuído pela universal pictures, é estrelado por sam neill, laura dern, jeff goldblum, richard attenborough, ariana richards, joseph mazzello, samuel l. jackson e bob peck. o filme é centrado na fictícia isla nublar, onde john hammond, um filantropo bilionário, e uma pequena equipe de geneticistas criam um parque temático em uma ilha, onde as principais atrações são variadas espécies de dinossauros recriados através da engenharia genética.",Jurassic Park,prehistoria
"a percepção de que dinossauros são intimamente relacionados com as aves levantou a possibilidade óbvia da existência de dinossauros emplumados. fósseis de archaeopteryx possuem penas bem preservadas, mas até o início da década de 1990 que claramente fósseis não-aviários de dinossauros, foram descobertos com penas preservadas. hoje há mais de vinte gêneros de dinossauros com penas fósseis, quase todos são terópodes.",Dinossauros emplumados,prehistoria
"dinosaurs (família dinossauros no brasil e os dinossauros em portugal), é uma série de televisão americana. apesar de ser concebida como um programa infantil, faz uma crítica bem humorada ao chamado ""american way of life"" e uma sátira da sociedade e dos costumes da classe média desse país.
produzida pela disney em parceria com a jim henson productions - a qual concebeu os bonecos que representam os personagens - e a michael jacobs productions, entre os anos de 1991 e 1994, a série trata das aventuras de uma família de dinossauros, a família silva sauro (sinclair, em inglês), que vive em uma sociedade dominada pelos grandes répteis, onde os humanos são animais selvagens.",Dinosaurs,prehistoria
"cabeça dinossauro é o terceiro álbum de estúdio da banda brasileira de rock titãs, lançado em 25 de junho de 1986 pela gravadora wea. marcou a estreia da parceria da banda com o produtor liminha, que, na época, era diretor da wea, o que facilitou a aproximação de ambas as partes. também garantiu o primeiro disco de ouro deles, recebido em dezembro do mesmo ano.
o álbum marca a mudança sonora que o grupo queria tomar a partir de uma fusão de fatores, como o ""relativo fracasso"" de seu álbum anterior, televisão, a prisão de arnaldo antunes e tony bellotto no final do 1985 e a relação dos titãs com sua gravadora.",Cabeça Dinossauro,prehistoria
"jurassic world (bra: jurassic world: o mundo dos dinossauros; prt: mundo jurássico) é um filme estadunidense de 2015, dos gêneros ação, aventura e ficção científica, dirigido por colin trevorrow, com roteiro dele, derek connolly, rick jaffa e amanda silver  baseado nos personagens criados por michael crichton.
a produção ficou por conta de steven spielberg, patrick crowley, frank marshall e thomas tull. o roteiro original foi escrito por rick jaffa e amanda silver.",Jurassic World,prehistoria
"jurassic park (no brasil, o parque dos dinossauros e em portugal parque jurássico) é um livro de ficção científica escrito por michael crichton e publicado em 20 de novembro de 1990. a trama usa a teoria do caos e suas implicações filosóficas para explicar o colapso de um parque de diversões povoado por dinossauros, recriados através de engenharia genética.
em 1993, steven spielberg adaptou o livro para o cinema (jurassic park), obtendo com este filme, na época, a maior bilheteria da história do cinema.",Jurassic Park (romance),prehistoria
"os exemplares de ovos de dinossauros atualmente vistos se encontram em estado fossilizado, uma vez que os dinossauros foram extintos há milhões de anos. oferecem pistas sobre a vida e o comportamento dos dinossauros. em alguns casos os embriões estão preservados e podem ser estudados.",Ovo de dinossauro,prehistoria
"avemetatarsalia (significando ""ametatarsos de aves"") é um clado estabelecido pelo paleontólogo britânico michael benton em 1999 para todos os arcossauros que estão mais perto das aves do que dos crocodilos.
uma descrição do pequeno arcossauro scleromochlus com uma cladística análise de sua posição filogenética demonstrou que scleromochlus é mais próximo dos dinossauros do que dos crurotarsi (grupo onde se encontram os crocodilos), porém jacques gauthier o considerou como um não-ornithodira, pois o grupo contém o último ancestral comum dos dinossauros e dos pterossauros, assim como todos os seus descendentes, no caso das aves, descendentes dos dinossauros.
em 2001, o grupo foi renomeado para panaves (significando ""todas as aves"", em latim) pelo paleontólogo jacques gauthier, definido como o grupo que engloba o maior grupo de arcossauros incluindo as aves, mas não a ordem crocodylia.",Avemetatarsalia,prehistoria
"a origem das aves foi um tópico controverso dentro da biologia evolutiva por muitos anos, porém mais recentemente surgiu um consenso científico de que as aves são um grupo de dinossauros terópodes que evoluíram na era mesozoica. uma relação íntima entre aves e dinossauros foi inicialmente proposta no século xix após a descoberta da ave primitiva archaeopteryx na alemanha, que foi confirmada desde a década de 1966 pela anatomia comparativa e pelo método de análise cladístico de relações evolucionárias. a descoberta progressiva de fósseis de dinossauros emplumados na província de liaoning na china deu nova luz ao assunto tanto para especialistas quanto para o público em geral.",Origem das aves,prehistoria
"saurischia (do grego sauros (σαυρος) lagarto, e ischion (ισχιον), que significa quadril)  é uma das duas ordens, ou divisões dos dinossauros. em 1888, harry seeley classificou os dinossauros em duas ordens, com base na estrutura do quadril. saurísquios (quadril de lagarto) se distinguem dos ornitísquios (ornithischia, quadril de pássaro).",Saurischia,prehistoria
"tricerátops<(nome científico: triceratops spp.) ou tricerátopo  foi um gênero de dinossauro ceratopsídeo casmossauríneo. foi um herbívoro quadrúpede que viveu no fim do período cretáceo, durante o maastrichtiano, principalmente na região que é hoje a américa do norte. é um dos últimos gêneros conhecidos de dinossauros não-aviários, e extinguiu-se no evento de extinção do cretáceo-paleogeno há 66 milhões de anos atrás.",Triceratops,prehistoria
"na escala de tempo geológico, o jurássico é o período da era mesozoica do éon fanerozoico. cobre 58,3 milhões de anos (desde o período triássico, de há 201,4 milhões de anos, até ao início do cretáceo, há 143,1 milhões de anos). isto é, o período jurássico precede o cretácico e sucede o triássico, na era em que surgiu o oceano atlântico.",Jurássico,prehistoria
